sl_multiplier,tp_multiplier,risk_reward,total_trades,win_rate,profit_factor,return_pct,max_drawdown
1.0,2.0,2.0,405,32.592592592592595,0.9714477285588395,-4.733141431575987,22.361719696386505
1.0,3.0,3.0,315,25.71428571428571,1.085411728349983,16.428524376357814,54.565851547797095
1.0,4.0,4.0,241,19.502074688796682,1.0340839702653668,60.54980505712365,1548.449688177012
1.0,5.0,5.0,197,16.243654822335024,0.5347150226401396,-1971.8238454283444,3836.524397256882
1.5,2.0,1.3333333333333333,306,41.830065359477125,0.9192168114870175,-11.935436270331664,19.96302927009395
1.5,3.0,2.0,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
1.5,4.0,2.6666666666666665,176,23.863636363636363,0.798883203517342,-58.95266232516519,176.32515704155517
1.5,5.0,3.3333333333333335,151,21.192052980132452,0.8242802666947635,-136.88096313992227,640.8421349438927
2.0,3.0,1.5,211,39.33649289099526,0.9657233704346487,-4.747021633631988,16.03933066804031
2.0,4.0,2.0,163,31.28834355828221,0.8994482093088823,-14.183505960342515,22.764859314160365
2.0,5.0,2.5,140,27.857142857142858,1.0892902954831258,11.291309262222015,21.211150415517597
2.5,3.0,1.2,169,44.37869822485207,0.9080129920670696,-11.828751544225923,22.518183491878435
2.5,4.0,1.6,131,35.87786259541985,0.85720773209311,-18.68625425248382,30.199397927894346
2.5,5.0,2.0,139,30.935251798561154,0.9308057605477583,-11.32230866915404,29.64727103416913
